Algorithm                      Moves    Iterations      Time (s)     Status
----------------------------------------------------------------------------------------------------
BFS UDLR                       8        994             0.64         SUCCESS
BFS DULR                       8        997             0.72         SUCCESS
BFS LRUD                       8        588             0.50         SUCCESS
BFS RDUL                       8        554             0.47         SUCCESS
DFS UDLR                       8        174,629         25.77        SUCCESS
DFS DULR                       8        175,876         24.22        SUCCESS
DFS LRUD                       14       7,774           1.44         SUCCESS
DFS RDUL                       14       5,447           1.00         SUCCESS
IDDFS UDLR                     8        875             0.51         SUCCESS
IDDFS DULR                     8        881             0.52         SUCCESS
IDDFS LRUD                     8        88              0.36         SUCCESS
A* h=0                         8        994             0.44         SUCCESS
A* h=1 (Manhattan)             8        9               0.20         SUCCESS
A* h=2 (Hamming)               8        16              0.22         SUCCESS
Best-First h=0                 8        994             0.41         SUCCESS
Best-First h=1 (Manhattan)     8        9               0.23         SUCCESS
Best-First h=2 (Hamming)       8        37              0.22         SUCCESS
SMA* h=0                       8        627             0.38         SUCCESS
SMA* h=1 (Manhattan)           8        9               0.23         SUCCESS
SMA* h=2 (Hamming)             8        11              0.20         SUCCESS
====================================================================================================
